SortType	TabSize	TabType	PercentSort	SortTime	UserTime	SystemTime	Memory
insertion	2500	random	NULL	0.000014	0.00	0.00	1628
insertion	2500	partlysorted	0.50	0.000014	0.00	0.00	1640
insertion	2500	reversed	NULL	0.000014	0.00	0.00	1628
insertion	3000	random	NULL	0.000021	0.00	0.00	1748
insertion	3000	partlysorted	0.50	0.000017	0.00	0.00	1752
insertion	3000	reversed	NULL	0.000017	0.00	0.00	1648
insertion	3500	random	NULL	0.000019	0.00	0.00	1648
insertion	3500	partlysorted	0.50	0.000044	0.00	0.00	1700
insertion	3500	reversed	NULL	0.000024	0.00	0.00	1652
insertion	4000	random	NULL	0.000027	0.00	0.00	1704
insertion	4000	partlysorted	0.50	0.000025	0.00	0.00	1712
insertion	4000	reversed	NULL	0.000019	0.00	0.00	1672
insertion	4500	random	NULL	0.000021	0.00	0.00	1776
insertion	4500	partlysorted	0.50	0.000020	0.00	0.00	1680
insertion	4500	reversed	NULL	0.000021	0.00	0.00	1728
insertion	5000	random	NULL	0.000023	0.00	0.00	1716
insertion	5000	partlysorted	0.50	0.000034	0.00	0.00	1728
insertion	5000	reversed	NULL	0.000031	0.00	0.00	1676
insertion	5500	random	NULL	0.000024	0.00	0.00	1696
insertion	5500	partlysorted	0.50	0.000024	0.00	0.00	1760
insertion	5500	reversed	NULL	0.000024	0.00	0.00	1724
insertion	6000	random	NULL	0.000028	0.00	0.00	1796
insertion	6000	partlysorted	0.50	0.000026	0.00	0.00	1696
insertion	6000	reversed	NULL	0.000027	0.00	0.00	1708
insertion	6500	random	NULL	0.000027	0.00	0.00	1688
insertion	6500	partlysorted	0.50	0.000026	0.00	0.00	1724
insertion	6500	reversed	NULL	0.000027	0.00	0.00	1776
insertion	7000	random	NULL	0.000029	0.00	0.00	1748
insertion	7000	partlysorted	0.50	0.000028	0.00	0.00	1812
insertion	7000	reversed	NULL	0.000028	0.00	0.00	1712
insertion	7500	random	NULL	0.000029	0.00	0.00	1796
insertion	7500	partlysorted	0.50	0.000029	0.00	0.00	1728
insertion	7500	reversed	NULL	0.000029	0.00	0.00	1796
insertion	8000	random	NULL	0.000031	0.00	0.00	1736
insertion	8000	partlysorted	0.50	0.000031	0.00	0.00	1784
insertion	8000	reversed	NULL	0.000046	0.00	0.00	1784
insertion	8500	random	NULL	0.000033	0.00	0.00	1744
insertion	8500	partlysorted	0.50	0.000032	0.00	0.00	1736
insertion	8500	reversed	NULL	0.000032	0.00	0.00	1744
insertion	9000	random	NULL	0.000035	0.00	0.00	1752
insertion	9000	partlysorted	0.50	0.000035	0.00	0.00	1792
insertion	9000	reversed	NULL	0.000035	0.00	0.00	1756
insertion	9500	random	NULL	0.000036	0.00	0.00	1756
insertion	9500	partlysorted	0.50	0.000037	0.00	0.00	1760
insertion	9500	reversed	NULL	0.000036	0.00	0.00	1748
insertion	10000	random	NULL	0.000038	0.00	0.00	1860
insertion	10000	partlysorted	0.50	0.000038	0.00	0.00	1740
insertion	10000	reversed	NULL	0.000038	0.00	0.00	1740
insertion	10500	random	NULL	0.000041	0.00	0.00	1868
insertion	10500	partlysorted	0.50	0.000040	0.00	0.00	1816
insertion	10500	reversed	NULL	0.000041	0.00	0.00	1844
insertion	11000	random	NULL	0.000042	0.00	0.00	1824
insertion	11000	partlysorted	0.50	0.000042	0.00	0.00	1792
insertion	11000	reversed	NULL	0.000041	0.00	0.00	1812
insertion	11500	random	NULL	0.000045	0.00	0.00	1836
insertion	11500	partlysorted	0.50	0.000044	0.00	0.00	1884
insertion	11500	reversed	NULL	0.000043	0.00	0.00	1764
insertion	12000	random	NULL	0.000045	0.00	0.00	1828
insertion	12000	partlysorted	0.50	0.000046	0.00	0.00	1792
insertion	12000	reversed	NULL	0.000046	0.00	0.00	1780
insertion	12500	random	NULL	0.000047	0.00	0.00	1808
insertion	12500	partlysorted	0.50	0.000048	0.00	0.00	1796
insertion	12500	reversed	NULL	0.000048	0.00	0.00	1780
insertion	13000	random	NULL	0.000050	0.00	0.00	1904
insertion	13000	partlysorted	0.50	0.000050	0.00	0.00	1792
insertion	13000	reversed	NULL	0.000049	0.00	0.00	1784
insertion	13500	random	NULL	0.000051	0.00	0.00	1904
insertion	13500	partlysorted	0.50	0.000051	0.00	0.00	1820
